"country","year","sex","age","suicide_100_population","gdp","generation"
"Albania",1987,"male","15-24 years",6.71,796,"Generation X"
"Albania",1987,"male","35-54 years",5.19,796,"Silent"
"Albania",1987,"female","15-24 years",4.83,796,"Generation X"
"Albania",1987,"male","75+ years",4.59,796,"G.I. Generation"
"Albania",1987,"male","25-34 years",3.28,796,"Boomers"
"Albania",1987,"female","75+ years",2.81,796,"G.I. Generation"
"Albania",1987,"female","35-54 years",2.15,796,"Silent"
"Albania",1987,"female","25-34 years",1.56,796,"Boomers"
"Albania",1987,"male","55-74 years",0.73,796,"G.I. Generation"
"Albania",1987,"female","5-14 years",0,796,"Generation X"
"Albania",1987,"female","55-74 years",0,796,"G.I. Generation"
"Albania",1987,"male","5-14 years",0,796,"Generation X"
"Albania",1988,"female","75+ years",5.49,769,"G.I. Generation"
"Albania",1988,"male","15-24 years",5.33,769,"Generation X"
"Albania",1988,"male","75+ years",4.48,769,"G.I. Generation"
"Albania",1988,"male","35-54 years",4.46,769,"Silent"
"Albania",1988,"male","55-74 years",2.85,769,"G.I. Generation"
"Albania",1988,"female","15-24 years",2.71,769,"Generation X"
"Albania",1988,"female","55-74 years",2.03,769,"G.I. Generation"
"Albania",1988,"female","25-34 years",1.91,769,"Boomers"
"Albania",1988,"male","25-34 years",1.79,769,"Boomers"
"Albania",1988,"female","35-54 years",1.41,769,"Silent"
"Albania",1988,"female","5-14 years",0,769,"Generation X"
"Albania",1988,"male","5-14 years",0,769,"Generation X"
"Albania",1989,"male","75+ years",8.89,833,"G.I. Generation"
"Albania",1989,"male","25-34 years",6.35,833,"Boomers"
"Albania",1989,"male","35-54 years",4.71,833,"Silent"
"Albania",1989,"male","55-74 years",4.22,833,"G.I. Generation"
"Albania",1989,"male","15-24 years",3.71,833,"Generation X"
"Albania",1989,"female","35-54 years",2.43,833,"Silent"
"Albania",1989,"female","15-24 years",1.67,833,"Generation X"
"Albania",1989,"female","25-34 years",0.75,833,"Boomers"
"Albania",1989,"female","55-74 years",0.67,833,"G.I. Generation"
"Albania",1989,"female","5-14 years",0,833,"Generation X"
"Albania",1989,"female","75+ years",0,833,"G.I. Generation"
